in:WWR N-W,in:WWR S-E,in:SHGC N-W,in:SHGC S-E,in:EXT SHADING N-W,in:EXT SHADING S-E,out:EUI (kWh/m2/yr),out:PEAK COOLING (kW),out:PEAK HEATING (kW),out:Thermal Comfort (%),out:sDA (Area %),img
0.5,0.5,g55,g25,0,0,80.943,372.177362,193.719772,96.47367,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g33,g33,0,0,78.596,281.211599,180.768229,96.495726,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g33,g33,0,0,79.28,303.483238,183.831474,96.468156,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g33,g33,0,0,80.028,326.211986,186.848292,96.452991,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g33,g33,0,0,79.093,301.895705,184.299351,96.486077,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g33,g33,0,0,79.792,324.042638,187.360775,96.458506,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g33,g33,0,0,80.552,346.670265,190.337333,96.448856,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g33,g33,0,0,79.661,322.815852,187.707564,96.481941,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g33,g33,0,0,80.376,344.988236,190.726015,96.450234,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g33,g33,0,0,81.148,367.532898,193.719772,96.433692,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g45,g33,0,0,78.479,275.121689,180.768229,96.506755,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g45,g33,0,0,79.125,295.320622,183.831474,96.490212,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g45,g33,0,0,79.833,316.181907,186.848292,96.468156,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g45,g33,0,0,78.968,295.144159,184.299351,96.498484,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g45,g33,0,0,79.629,315.532169,187.360775,96.475048,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g45,g33,0,0,80.347,336.407786,190.337333,96.455749,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g45,g33,0,0,79.528,315.747261,187.707564,96.490212,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g45,g33,0,0,80.203,336.092813,190.726015,96.472291,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g45,g33,0,0,80.929,356.771841,193.719772,96.447477,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g55,g33,0,0,78.241,261.621927,180.768229,96.548111,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g55,g33,0,0,78.799,278.273158,183.831474,96.524676,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g55,g33,0,0,79.413,295.330143,186.848292,96.519162,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g55,g33,0,0,78.711,280.648891,184.299351,96.534326,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g55,g33,0,0,79.281,297.349141,187.360775,96.512269,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g55,g33,0,0,79.907,314.510821,190.337333,96.490212,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g55,g33,0,0,79.252,300.122628,187.707564,96.531569,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g55,g33,0,0,79.837,316.866575,190.726015,96.506755,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g55,g33,0,0,80.464,334.039718,193.719772,96.495726,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg33_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g33,g45,0,0,78.587,268.591201,180.768229,96.527433,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g33,g45,0,0,79.232,289.230461,183.831474,96.505376,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g33,g45,0,0,79.934,310.376602,186.848292,96.481941,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g33,g45,0,0,79.034,285.373452,184.299351,96.492969,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g33,g45,0,0,79.69,306.310886,187.360775,96.475048,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g33,g45,0,0,80.397,327.637082,190.337333,96.458506,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g33,g45,0,0,79.523,302.949023,187.707564,96.479184,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g33,g45,0,0,80.187,323.766051,190.726015,96.447477,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g33,g45,0,0,80.902,344.833692,193.719772,96.441963,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g45,g45,0,0,78.473,262.192833,180.768229,96.532947,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g45,g45,0,0,79.081,281.070942,183.831474,96.524676,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g45,g45,0,0,79.744,300.353314,186.848292,96.502619,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g45,g45,0,0,78.913,278.725767,184.299351,96.505376,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g45,g45,0,0,79.531,297.794824,187.360775,96.491591,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
